commercial                  商业的、盈利的、商业广告

community                   社区、团体

digital                     数字的、手指的、数字、键

diverse                     不同的、多种多样的  、变化多的

graphics                    制图学、制图法、图标算法
hacker                      电脑黑客

interactive                 交互式的、互相作用的

outputs                     输出、产量

patch                       补丁、修补文件

repository                  贮藏室、仓库

rescue                      营救、援救

tumb                        翻阅、大拇指

archived                    存档的、已归档的

associations                协会

collaborators               合作者、投敌者

confirm                     确认、确定、证实

contribute                  贡献、出力、投稿、捐献

danger zone                 危险区域

deploy                      配置、部署、展开

documentation               配置文件、证明文件

explore                     探索、探测、探险

features                    产品特点、特征、容貌

fetch                       取来、接来、到达、取

hook                        挂钩、钩子、钩住

insights                    洞察力、眼力、深刻见解

integration                 集合、综合

issues                      议题、问题、债券

limits                      极限、范围、领土

marketplace                 市场、商场、市级

merged                      合并、融合

notifications               通告、通知

ownership                   所有权、物主身份

paused                      已暂停的、中止的、停顿

permanently                 永久的、长期不变的

profile                     侧面、轮廓、外形、面积、简况

profiles                    配置文件、剖面图、个人档案

prune                       删除、减少、修剪、减去

remote                      遥远的、偏僻的、远程

repositories                贮藏室、资源丰富地区

resolving                   分解、解析

staged                      分期的、已暂存

store                       商店、储备、贮藏、仓库

stale                       陈腐的、不新鲜的

substitute                  代替、代替物、代替品

track                       轨道、追踪、跟踪

transfer                    转让、转移、过户

unified                     统一的、一致标准的

upload                      上传















































